nombre,capital,region,poblacion
Nepal,Kathmandu,Asia,29136808
United Kingdom,London,Europe,67215293
Qatar,Doha,Asia,2881060
French Guiana,Cayenne,Americas,254541
Saudi Arabia,Riyadh,Asia,34813867
Venezuela,Caracas,Americas,28435943
Kuwait,Kuwait City,Asia,4270563
Tunisia,Tunis,Africa,11818618
Antigua and Barbuda,Saint John's,Americas,97928
Guinea,Conakry,Africa,13132792
India,New Delhi,Asia,1380004385
Greenland,Nuuk,Americas,56367
Cocos (Keeling) Islands,West Island,Oceania,544
North Macedonia,Skopje,Europe,2077132
Mayotte,Mamoudzou,Africa,226915
Switzerland,Bern,Europe,8654622
Mauritania,Nouakchott,Africa,4649660
Benin,Porto-Novo,Africa,12123198
Egypt,Cairo,Africa,102334403
British Indian Ocean Territory,Diego Garcia,Africa,3000
Bulgaria,Sofia,Europe,6927288
Falkland Islands,Stanley,Americas,2563
Tajikistan,Dushanbe,Asia,9537642
Madagascar,Antananarivo,Africa,27691019
Syria,Damascus,Asia,17500657
Greece,Athens,Europe,10715549
Mali,Bamako,Africa,20250834
Cyprus,Nicosia,Europe,1207361
Turks and Caicos Islands,Cockburn Town,Americas,38718
Philippines,Manila,Asia,109581085
Brazil,Brasília,Americas,212559409
Caribbean Netherlands,Kralendijk,Americas,25987
Jamaica,Kingston,Americas,2961161
Trinidad and Tobago,Port of Spain,Americas,1399491
Saint Vincent and the Grenadines,Kingstown,Americas,110947
Morocco,Rabat,Africa,36910558
Algeria,Algiers,Africa,44700000
Panama,Panama City,Americas,4314768
Jersey,Saint Helier,Europe,100800
Laos,Vientiane,Asia,7275556
Peru,Lima,Americas,32971846
Vatican City,Vatican City,Europe,451
Israel,Jerusalem,Asia,9216900
Gibraltar,Gibraltar,Europe,33691
Canada,Ottawa,Americas,38005238
Slovakia,Bratislava,Europe,5458827
French Polynesia,Papeetē,Oceania,280904
Liechtenstein,Vaduz,Europe,38137
Myanmar,Naypyidaw,Asia,54409794
Guam,Hagåtña,Oceania,168783
Western Sahara,El Aaiún,Africa,510713
Svalbard and Jan Mayen,Longyearbyen,Europe,2562
Guadeloupe,Basse-Terre,Americas,400132
Paraguay,Asunción,Americas,7132530
Vietnam,Hanoi,Asia,97338583
Pitcairn Islands,Adamstown,Oceania,56
Indonesia,Jakarta,Asia,273523621
Gabon,Libreville,Africa,2225728
Ghana,Accra,Africa,31072945
South Africa,Pretoria,Africa,59308690
Papua New Guinea,Port Moresby,Oceania,8947027
Burkina Faso,Ouagadougou,Africa,20903278
Togo,Lomé,Africa,8278737
Kazakhstan,Astana,Asia,18754440
Bahrain,Manama,Asia,1701583
Oman,Muscat,Asia,5106622
Afghanistan,Kabul,Asia,40218234
United Arab Emirates,Abu Dhabi,Asia,9890400
Belize,Belmopan,Americas,397621
Barbados,Bridgetown,Americas,287371
Haiti,Port-au-Prince,Americas,11402533
Iran,Tehran,Asia,83992953
Northern Mariana Islands,Saipan,Oceania,57557
Yemen,Sana'a,Asia,29825968
Saint Barthélemy,Gustavia,Americas,4255
Italy,Rome,Europe,59554023
Chile,Santiago,Americas,19116209
Brunei,Bandar Seri Begawan,Asia,437483
El Salvador,San Salvador,Americas,6486201
Montserrat,Plymouth,Americas,4922
Cameroon,Yaoundé,Africa,26545864
